year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2002","ARGENTINA","AR","MAIPU","AR-22091","CHACO","AR-22","1395.8335467881138"
"2002","ARGENTINA","AR","MATACOS","AR-34028","FORMOSA","AR-34","84.11506324848709"
"2002","ARGENTINA","AR","MAYOR LUIS J. FONTANA","AR-22098","CHACO","AR-22","2697.8933949221"
"2002","ARGENTINA","AR","METAN","AR-66112","SALTA","AR-66","2796.11738456438"
"2002","ARGENTINA","AR","MINAS","AR-14070","CORDOBA","AR-14","442.991920296877"
"2002","ARGENTINA","AR","MITRE","AR-86112","SANTIAGO DEL ESTERO","AR-86","1732.2062516027806"
"2002","ARGENTINA","AR","MORENO","AR-86119","SANTIAGO DEL ESTERO","AR-86","48177.71057812945"
"2002","ARGENTINA","AR","O'HIGGINS","AR-22112","CHACO","AR-22","902.8825331449217"
"2002","ARGENTINA","AR","OJO DE AGUA","AR-86126","SANTIAGO DEL ESTERO","AR-86","4971.997254024855"
"2002","ARGENTINA","AR","ORAN","AR-66126","SALTA","AR-66","2980.0099238379044"
"2002","ARGENTINA","AR","PALPALA","AR-38042","JUJUY","AR-38","14.217696512096069"
"2002","ARGENTINA","AR","PATINO","AR-34035","FORMOSA","AR-34","3082.487872265484"
"2002","ARGENTINA","AR","PELLEGRINI","AR-86133","SANTIAGO DEL ESTERO","AR-86","3408.156892283728"
"2002","ARGENTINA","AR","PILAGAS","AR-34042","FORMOSA","AR-34","252.07955323264878"
"2002","ARGENTINA","AR","PILCOMAYO","AR-34049","FORMOSA","AR-34","446.4349384371849"
"2002","ARGENTINA","AR","PIRANE","AR-34056","FORMOSA","AR-34","955.3409567431491"
"2002","ARGENTINA","AR","POCHO","AR-14077","CORDOBA","AR-14","281.6013457849622"
"2002","ARGENTINA","AR","PRESIDENCIA DE LA PLAZA","AR-22119","CHACO","AR-22","159.5870379133844"
"2002","ARGENTINA","AR","PUNILLA","AR-14091","CORDOBA","AR-14","103.98876208890887"
"2002","ARGENTINA","AR","QUEBRACHOS","AR-86140","SANTIAGO DEL ESTERO","AR-86","4171.36707890472"
"2002","ARGENTINA","AR","QUITILIPI","AR-22133","CHACO","AR-22","45.0082487213261"
"2002","ARGENTINA","AR","RAMON LISTA","AR-34063","FORMOSA","AR-34","696.2128621738915"
"2002","ARGENTINA","AR","RIO HONDO","AR-86147","SANTIAGO DEL ESTERO","AR-86","2886.8011174231765"
"2002","ARGENTINA","AR","RIO SECO","AR-14112","CORDOBA","AR-14","8307.578926770886"
"2002","ARGENTINA","AR","RIVADAVIA","AR-66133","SALTA","AR-66","1396.1648475598179"
"2002","ARGENTINA","AR","RIVADAVIA","AR-86154","SANTIAGO DEL ESTERO","AR-86","464.55393367535345"
"2002","ARGENTINA","AR","ROBLES","AR-86161","SANTIAGO DEL ESTERO","AR-86","2417.615720820193"
"2002","ARGENTINA","AR","ROSARIO DE LA FRONTERA","AR-66140","SALTA","AR-66","1009.3626516446179"
